Freq.	V(vo)
Step Information: Run=13  (Run: 13/100)
1.42560759360218e+003	(1.42324997275553e-001dB,-5.27104586318791e+000°)
1.42889395851109e+003	(1.42331884257767e-001dB,-5.28319875870820e+000°)
1.43218789927353e+003	(1.42338802966014e-001dB,-5.29537968256137e+000°)
1.43548943335364e+003	(1.42345753546348e-001dB,-5.30758869944955e+000°)
1.43879857825583e+003	(1.42352736145061e-001dB,-5.31982587422449e+000°)
1.44211535152486e+003	(1.42359750909570e-001dB,-5.33209127188803e+000°)
1.44543977074592e+003	(1.42366797987613e-001dB,-5.34438495759271e+000°)
1.44877185354475e+003	(1.42373877527721e-001dB,-5.35670699664170e+000°)
1.45211161758773e+003	(1.42380989679323e-001dB,-5.36905745448947e+000°)
1.45545908058195e+003	(1.42388134592051e-001dB,-5.38143639674178e+000°)
1.45881426027534e+003	(1.42395312416720e-001dB,-5.39384388915659e+000°)
1.46217717445671e+003	(1.42402523304552e-001dB,-5.40627999764393e+000°)
1.46554784095590e+003	(1.42409767407545e-001dB,-5.41874478826644e+000°)
1.46892627764385e+003	(1.42417044878287e-001dB,-5.43123832723970e+000°)
1.47231250243271e+003	(1.42424355870264e-001dB,-5.44376068093282e+000°)
1.47570653327588e+003	(1.42431700537577e-001dB,-5.45631191586813e+000°)
1.47910838816819e+003	(1.42439079034907e-001dB,-5.46889209872246e+000°)
1.48251808514594e+003	(1.42446491517776e-001dB,-5.48150129632652e+000°)
1.48593564228699e+003	(1.42453938142496e-001dB,-5.49413957566630e+000°)
1.48936107771090e+003	(1.42461419065844e-001dB,-5.50680700388255e+000°)
1.49279440957898e+003	(1.42468934445529e-001dB,-5.51950364827170e+000°)
1.49623565609442e+003	(1.42476484439871e-001dB,-5.53222957628575e+000°)
1.49968483550236e+003	(1.42484069208089e-001dB,-5.54498485553322e+000°)
1.50314196609001e+003	(1.42491688909766e-001dB,-5.55776955377877e+000°)
1.50660706618673e+003	(1.42499343705583e-001dB,-5.57058373894452e+000°)
1.51008015416413e+003	(1.42507033756832e-001dB,-5.58342747910952e+000°)
1.51356124843619e+003	(1.42514759225480e-001dB,-5.59630084251044e+000°)
1.51705036745932e+003	(1.42522520274292e-001dB,-5.60920389754219e+000°)
1.52054752973248e+003	(1.42530317066826e-001dB,-5.62213671275811e+000°)
1.52405275379728e+003	(1.42538149767283e-001dB,-5.63509935687003e+000°)
1.52756605823806e+003	(1.42546018540623e-001dB,-5.64809189874924e+000°)
1.53108746168201e+003	(1.42553923552656e-001dB,-5.66111440742622e+000°)
1.53461698279928e+003	(1.42561864969908e-001dB,-5.67416695209165e+000°)
1.53815464030302e+003	(1.42569842959542e-001dB,-5.68724960209631e+000°)
1.54170045294954e+003	(1.42577857689881e-001dB,-5.70036242695154e+000°)
1.54525443953840e+003	(1.42585909329346e-001dB,-5.71350549632992e+000°)
1.54881661891247e+003	(1.42593998047862e-001dB,-5.72667888006515e+000°)
1.55238700995807e+003	(1.42602124015485e-001dB,-5.73988264815292e+000°)
1.55596563160506e+003	(1.42610287403629e-001dB,-5.75311687075094e+000°)
1.55955250282694e+003	(1.42618488384109e-001dB,-5.76638161817939e+000°)
1.56314764264094e+003	(1.42626727129495e-001dB,-5.77967696092157e+000°)
1.56675107010813e+003	(1.42635003813439e-001dB,-5.79300296962385e+000°)
1.57036280433354e+003	(1.42643318610171e-001dB,-5.80635971509632e+000°)
1.57398286446620e+003	(1.42651671694808e-001dB,-5.81974726831312e+000°)
1.57761126969933e+003	(1.42660063243221e-001dB,-5.83316570041294e+000°)
1.58124803927037e+003	(1.42668493432118e-001dB,-5.84661508269903e+000°)
1.58489319246110e+003	(1.42676962438892e-001dB,-5.86009548664008e+000°)
1.58854674859776e+003	(1.42685470441954e-001dB,-5.87360698387024e+000°)
1.59220872705115e+003	(1.42694017620417e-001dB,-5.88714964618985e+000°)
1.59587914723672e+003	(1.42702604154180e-001dB,-5.90072354556511e+000°)
1.59955802861465e+003	(1.42711230224048e-001dB,-5.91432875412958e+000°)
1.60324539069002e+003	(1.42719896011644e-001dB,-5.92796534418360e+000°)
1.60694125301286e+003	(1.42728601699284e-001dB,-5.94163338819509e+000°)
1.61064563517825e+003	(1.42737347470218e-001dB,-5.95533295879995e+000°)
1.61435855682647e+003	(1.42746133508748e-001dB,-5.96906412880234e+000°)
1.61808003764305e+003	(1.42754959999553e-001dB,-5.98282697117529e+000°)
1.62181009735891e+003	(1.42763827128471e-001dB,-5.99662155906079e+000°)
1.62554875575047e+003	(1.42772735082231e-001dB,-6.01044796577034e+000°)
1.62929603263970e+003	(1.42781684048225e-001dB,-6.02430626478550e+000°)
1.63305194789432e+003	(1.42790674214907e-001dB,-6.03819652975782e+000°)
1.63681652142779e+003	(1.42799705771254e-001dB,-6.05211883450990e+000°)
1.64058977319952e+003	(1.42808778907517e-001dB,-6.06607325303503e+000°)
1.64437172321491e+003	(1.42817893814462e-001dB,-6.08005985949851e+000°)
1.64816239152549e+003	(1.42827050684087e-001dB,-6.09407872823719e+000°)
1.65196179822900e+003	(1.42836249708953e-001dB,-6.10812993376019e+000°)
1.65576996346951e+003	(1.42845491082615e-001dB,-6.12221355074957e+000°)
1.65958690743754e+003	(1.42854774999472e-001dB,-6.13632965406054e+000°)
1.66341265037015e+003	(1.42864101654977e-001dB,-6.15047831872132e+000°)
1.66724721255104e+003	(1.42873471245268e-001dB,-6.16465961993457e+000°)
1.67109061431069e+003	(1.42882883967475e-001dB,-6.17887363307720e+000°)
1.67494287602642e+003	(1.42892340019590e-001dB,-6.19312043370070e+000°)
1.67880401812254e+003	(1.42901839600541e-001dB,-6.20740009753173e+000°)
1.68267406107045e+003	(1.42911382910240e-001dB,-6.22171270047259e+000°)
1.68655302538872e+003	(1.42920970149279e-001dB,-6.23605831860163e+000°)
1.69044093164324e+003	(1.42930601519382e-001dB,-6.25043702817348e+000°)
1.69433780044731e+003	(1.42940277223263e-001dB,-6.26484890561946e+000°)
1.69824365246172e+003	(1.42949997464252e-001dB,-6.27929402754828e+000°)
1.70215850839493e+003	(1.42959762446735e-001dB,-6.29377247074613e+000°)
1.70608238900310e+003	(1.42969572376230e-001dB,-6.30828431217741e+000°)
1.71001531509027e+003	(1.42979427458925e-001dB,-6.32282962898499e+000°)
1.71395730750840e+003	(1.42989327902250e-001dB,-6.33740849849033e+000°)
1.71790838715757e+003	(1.42999273914211e-001dB,-6.35202099819448e+000°)
1.72186857498598e+003	(1.43009265703934e-001dB,-6.36666720577808e+000°)
1.72583789199018e+003	(1.43019303481676e-001dB,-6.38134719910196e+000°)
1.72981635921508e+003	(1.43029387458350e-001dB,-6.39606105620764e+000°)
1.73380399775412e+003	(1.43039517845885e-001dB,-6.41080885531742e+000°)
1.73780082874935e+003	(1.43049694857578e-001dB,-6.42559067483495e+000°)
1.74180687339159e+003	(1.43059918707151e-001dB,-6.44040659334600e+000°)
1.74582215292048e+003	(1.43070189609466e-001dB,-6.45525668961838e+000°)
1.74984668862463e+003	(1.43080507780659e-001dB,-6.47014104260282e+000°)
1.75388050184174e+003	(1.43090873437503e-001dB,-6.48505973143286e+000°)
1.75792361395867e+003	(1.43101286797866e-001dB,-6.50001283542572e+000°)
1.76197604641161e+003	(1.43111748080671e-001dB,-6.51500043408293e+000°)
1.76603782068614e+003	(1.43122257505784e-001dB,-6.53002260708992e+000°)
1.77010895831740e+003	(1.43132815294030e-001dB,-6.54507943431712e+000°)
1.77418948089014e+003	(1.43143421667338e-001dB,-6.56017099582063e+000°)
1.77827941003890e+003	(1.43154076848702e-001dB,-6.57529737184164e+000°)
1.78237876744807e+003	(1.43164781061809e-001dB,-6.59045864280810e+000°)
1.78648757485203e+003	(1.43175534531801e-001dB,-6.60565488933390e+000°)
1.79060585403527e+003	(1.43186337484602e-001dB,-6.62088619222057e+000°)
1.79473362683250e+003	(1.43197190147111e-001dB,-6.63615263245692e+000°)
1.79887091512876e+003	(1.43208092747469e-001dB,-6.65145429121937e+000°)
1.80301774085954e+003	(1.43219045514606e-001dB,-6.66679124987301e+000°)
1.80717412601090e+003	(1.43230048678763e-001dB,-6.68216358997170e+000°)
1.81134009261958e+003	(1.43241102471061e-001dB,-6.69757139325850e+000°)
1.81551566277311e+003	(1.43252207123683e-001dB,-6.71301474166593e+000°)
1.81970085860996e+003	(1.43263362869911e-001dB,-6.72849371731701e+000°)
1.82389570231961e+003	(1.43274569944046e-001dB,-6.74400840252509e+000°)
1.82810021614272e+003	(1.43285828581593e-001dB,-6.75955887979466e+000°)
1.83231442237119e+003	(1.43297139018967e-001dB,-6.77514523182166e+000°)
1.83653834334832e+003	(1.43308501493594e-001dB,-6.79076754149368e+000°)
1.84077200146893e+003	(1.43319916244270e-001dB,-6.80642589189124e+000°)
1.84501541917945e+003	(1.43331383510644e-001dB,-6.82212036628718e+000°)
1.84926861897805e+003	(1.43342903533637e-001dB,-6.83785104814774e+000°)
1.85353162341478e+003	(1.43354476554985e-001dB,-6.85361802113323e+000°)
1.85780445509167e+003	(1.43366102817813e-001dB,-6.86942136909754e+000°)
1.86208713666284e+003	(1.43377782566201e-001dB,-6.88526117608974e+000°)
1.86637969083464e+003	(1.43389516045413e-001dB,-6.90113752635382e+000°)
1.87068214036577e+003	(1.43401303501726e-001dB,-6.91705050432914e+000°)
1.87499450806739e+003	(1.43413145182623e-001dB,-6.93300019465133e+000°)
1.87931681680324e+003	(1.43425041336769e-001dB,-6.94898668215250e+000°)
1.88364908948977e+003	(1.43436992213891e-001dB,-6.96501005186164e+000°)
1.88799134909627e+003	(1.43448998064750e-001dB,-6.98107038900512e+000°)
1.89234361864495e+003	(1.43461059141476e-001dB,-6.99716777900702e+000°)
1.89670592121112e+003	(1.43473175697123e-001dB,-7.01330230749027e+000°)
1.90107827992327e+003	(1.43485347985993e-001dB,-7.02947406027610e+000°)
1.90546071796322e+003	(1.43497576263589e-001dB,-7.04568312338523e+000°)
1.90985325856621e+003	(1.43509860786581e-001dB,-7.06192958303809e+000°)
1.91425592502106e+003	(1.43522201812707e-001dB,-7.07821352565528e+000°)
1.91866874067026e+003	(1.43534599600852e-001dB,-7.09453503785819e+000°)
1.92309172891013e+003	(1.43547054411430e-001dB,-7.11089420646927e+000°)
1.92752491319091e+003	(1.43559566505464e-001dB,-7.12729111851280e+000°)
1.93196831701689e+003	(1.43572136145561e-001dB,-7.14372586121477e+000°)
1.93642196394658e+003	(1.43584763595535e-001dB,-7.16019852200424e+000°)
1.94088587759275e+003	(1.43597449120207e-001dB,-7.17670918851287e+000°)
1.94536008162263e+003	(1.43610192985744e-001dB,-7.19325794857623e+000°)
1.94984459975802e+003	(1.43622995459421e-001dB,-7.20984489023365e+000°)
1.95433945577536e+003	(1.43635856809767e-001dB,-7.22647010172910e+000°)
1.95884467350596e+003	(1.43648777306707e-001dB,-7.24313367151158e+000°)
1.96336027683602e+003	(1.43661757221052e-001dB,-7.25983568823545e+000°)
1.96788628970681e+003	(1.43674796824986e-001dB,-7.27657624076092e+000°)
1.97242273611482e+003	(1.43687896392210e-001dB,-7.29335541815491e+000°)
1.97696964011183e+003	(1.43701056197189e-001dB,-7.31017330969101e+000°)
1.98152702580507e+003	(1.43714276516014e-001dB,-7.32703000485041e+000°)
1.98609491735734e+003	(1.43727557625878e-001dB,-7.34392559332194e+000°)
1.99067333898715e+003	(1.43740899805192e-001dB,-7.36086016500322e+000°)
1.99526231496885e+003	(1.43754303333735e-001dB,-7.37783381000038e+000°)
1.99986186963271e+003	(1.43767768492413e-001dB,-7.39484661862916e+000°)
2.00447202736513e+003	(1.43781295563654e-001dB,-7.41189868141492e+000°)
2.00909281260870e+003	(1.43794884830974e-001dB,-7.42899008909377e+000°)
2.01372424986236e+003	(1.43808536579235e-001dB,-7.44612093261226e+000°)
2.01836636368153e+003	(1.43822251094517e-001dB,-7.46329130312852e+000°)
2.02301917867824e+003	(1.43836028664324e-001dB,-7.48050129201245e+000°)
2.02768271952125e+003	(1.43849869577452e-001dB,-7.49775099084662e+000°)
2.03235701093619e+003	(1.43863774123811e-001dB,-7.51504049142594e+000°)
2.03704207770568e+003	(1.43877742594957e-001dB,-7.53236988575903e+000°)
2.04173794466950e+003	(1.43891775283541e-001dB,-7.54973926606819e+000°)
2.04644463672464e+003	(1.43905872483501e-001dB,-7.56714872479031e+000°)
2.05116217882553e+003	(1.43920034490387e-001dB,-7.58459835457711e+000°)
2.05589059598411e+003	(1.43934261600803e-001dB,-7.60208824829529e+000°)
2.06062991326997e+003	(1.43948554112772e-001dB,-7.61961849902796e+000°)
2.06538015581049e+003	(1.43962912325832e-001dB,-7.63718920007466e+000°)
2.07014134879101e+003	(1.43977336540642e-001dB,-7.65480044495116e+000°)
2.07491351745487e+003	(1.43991827059366e-001dB,-7.67245232739146e+000°)
2.07969668710366e+003	(1.44006384185585e-001dB,-7.69014494134714e+000°)
2.08449088309725e+003	(1.44021008224132e-001dB,-7.70787838098805e+000°)
2.08929613085400e+003	(1.44035699481262e-001dB,-7.72565274070344e+000°)
2.09411245585086e+003	(1.44050458264577e-001dB,-7.74346811510159e+000°)
2.09893988362349e+003	(1.44065284883257e-001dB,-7.76132459901132e+000°)
2.10377843976644e+003	(1.44080179647753e-001dB,-7.77922228748138e+000°)
2.10862814993325e+003	(1.44095142869842e-001dB,-7.79716127578216e+000°)
2.11348903983661e+003	(1.44110174862849e-001dB,-7.81514165940516e+000°)
2.11836113524846e+003	(1.44125275941563e-001dB,-7.83316353406417e+000°)
2.12324446200018e+003	(1.44140446421937e-001dB,-7.85122699569559e+000°)
2.12813904598267e+003	(1.44155686621745e-001dB,-7.86933214045899e+000°)
2.13304491314654e+003	(1.44170996859877e-001dB,-7.88747906473762e+000°)
2.13796208950219e+003	(1.44186377456695e-001dB,-7.90566786513887e+000°)
2.14289060112002e+003	(1.44201828734362e-001dB,-7.92389863849512e+000°)
2.14783047413050e+003	(1.44217351015987e-001dB,-7.94217148186346e+000°)
2.15278173472433e+003	(1.44232944626519e-001dB,-7.96048649252728e+000°)
2.15774440915263e+003	(1.44248609892260e-001dB,-7.97884376799627e+000°)
2.16271852372698e+003	(1.44264347140915e-001dB,-7.99724340600675e+000°)
2.16770410481966e+003	(1.44280156701881e-001dB,-8.01568550452260e+000°)
2.17270117886370e+003	(1.44296038905824e-001dB,-8.03417016173581e+000°)
2.17770977235312e+003	(1.44311994085065e-001dB,-8.05269747606659e+000°)
2.18272991184296e+003	(1.44328022573352e-001dB,-8.07126754616412e+000°)
2.18776162394951e+003	(1.44344124705904e-001dB,-8.08988047090743e+000°)
2.19280493535041e+003	(1.44360300819611e-001dB,-8.10853634940569e+000°)
2.19785987278478e+003	(1.44376551252793e-001dB,-8.12723528099835e+000°)
2.20292646305342e+003	(1.44392876345205e-001dB,-8.14597736525644e+000°)
2.20800473301886e+003	(1.44409276438334e-001dB,-8.16476270198270e+000°)
2.21309470960560e+003	(1.44425751875101e-001dB,-8.18359139121205e+000°)
2.21819641980018e+003	(1.44442302999978e-001dB,-8.20246353321220e+000°)
2.22330989065136e+003	(1.44458930159036e-001dB,-8.22137922848451e+000°)
2.22843514927026e+003	(1.44475633699880e-001dB,-8.24033857776418e+000°)
2.23357222283049e+003	(1.44492413971752e-001dB,-8.25934168202082e+000°)
2.23872113856830e+003	(1.44509271325412e-001dB,-8.27838864245936e+000°)
2.24388192378272e+003	(1.44526206113212e-001dB,-8.29747956052025e+000°)
2.24905460583574e+003	(1.44543218689082e-001dB,-8.31661453787995e+000°)
2.25423921215239e+003	(1.44560309408696e-001dB,-8.33579367645214e+000°)
2.25943577022093e+003	(1.44577478629053e-001dB,-8.35501707838709e+000°)
2.26464430759302e+003	(1.44594726709024e-001dB,-8.37428484607365e+000°)
