time	V(vo_rec)
2.523901323222637e-005	4.270007e+000
2.524487743138259e-005	4.267299e+000
2.525074163053882e-005	4.264585e+000
2.525660582969504e-005	4.261868e+000
2.526559614380934e-005	4.257692e+000
2.527458645792363e-005	4.253506e+000
2.528357677203793e-005	4.249309e+000
2.529256708615223e-005	4.245101e+000
2.530155740026653e-005	4.240883e+000
2.531054771438082e-005	4.236653e+000
2.531953802849512e-005	4.232413e+000
2.533096659992369e-005	4.227008e+000
2.534239517135227e-005	4.221585e+000
2.535382374278084e-005	4.216145e+000
2.536525231420942e-005	4.210686e+000
2.537668088563799e-005	4.205210e+000
2.538810945706657e-005	4.199715e+000
2.539953802849514e-005	4.194203e+000
2.541239517135229e-005	4.187984e+000
2.542525231420943e-005	4.181741e+000
2.543810945706657e-005	4.175475e+000
2.545096659992372e-005	4.169187e+000
2.546382374278086e-005	4.162876e+000
2.547668088563800e-005	4.156542e+000
2.548953802849515e-005	4.150186e+000
2.551525231420944e-005	4.137408e+000
2.554096659992373e-005	4.124539e+000
2.556668088563802e-005	4.111578e+000
2.559239517135231e-005	4.098526e+000
2.561810945706660e-005	4.085383e+000
2.564382374278089e-005	4.072148e+000
2.566953802849518e-005	4.058822e+000
2.572953802849519e-005	4.027377e+000
2.578953802849520e-005	3.995427e+000
2.584953802849521e-005	3.962970e+000
2.590953802849522e-005	3.930007e+000
2.596953802849523e-005	3.896538e+000
2.602953802849523e-005	3.862562e+000
2.608953802849524e-005	3.828080e+000
2.610953802849524e-005	3.816472e+000
2.612953802849525e-005	3.804807e+000
2.614545639584219e-005	3.795483e+000
2.616137476318913e-005	3.786122e+000
2.617729313053607e-005	3.776726e+000
2.619321149788301e-005	3.767293e+000
2.620912986522996e-005	3.757824e+000
2.622504823257690e-005	3.748318e+000
2.624096659992384e-005	3.738777e+000
2.625802782441364e-005	3.728510e+000
2.627508904890344e-005	3.718203e+000
2.629215027339324e-005	3.707855e+000
2.630921149788303e-005	3.697465e+000
2.632627272237283e-005	3.687035e+000
2.634333394686263e-005	3.676563e+000
2.636039517135243e-005	3.666051e+000
2.638631353869937e-005	3.649998e+000
2.641223190604632e-005	3.633850e+000
2.643815027339326e-005	3.617608e+000
2.646406864074020e-005	3.601271e+000
2.648998700808715e-005	3.584839e+000
2.651590537543409e-005	3.568313e+000
2.654182374278103e-005	3.551693e+000
2.656774211012797e-005	3.534973e+000
2.659366047747492e-005	3.518160e+000
2.661957884482186e-005	3.501253e+000
2.664549721216880e-005	3.484252e+000
2.667141557951575e-005	3.467157e+000
2.669733394686269e-005	3.449969e+000
2.672325231420963e-005	3.432686e+000
2.674917068155658e-005	3.415306e+000
2.677508904890352e-005	3.397833e+000
2.680100741625047e-005	3.380267e+000
2.682692578359741e-005	3.362609e+000
2.685284415094435e-005	3.344858e+000
2.687876251829130e-005	3.327015e+000
2.690468088563824e-005	3.309079e+000
2.693059925298518e-005	3.291046e+000
2.695651762033213e-005	3.272923e+000
2.698243598767907e-005	3.254709e+000
2.700835435502601e-005	3.236403e+000
2.703427272237295e-005	3.218007e+000
2.706019108971990e-005	3.199520e+000
2.708610945706684e-005	3.180942e+000
2.711259925298521e-005	3.161857e+000
2.713908904890358e-005	3.142679e+000
2.716557884482195e-005	3.123409e+000
2.719206864074032e-005	3.104045e+000
2.721855843665869e-005	3.084589e+000
2.724504823257707e-005	3.065040e+000
2.727153802849544e-005	3.045399e+000
2.735792516860325e-005	2.980648e+000
2.744431230871107e-005	2.914983e+000
2.753069944881888e-005	2.848406e+000
2.761708658892669e-005	2.780917e+000
2.770347372903450e-005	2.712514e+000
2.778986086914232e-005	2.643199e+000
2.787624800925013e-005	2.572971e+000
2.787746580995094e-005	2.571975e+000
2.787868361065175e-005	2.570979e+000
2.787990141135257e-005	2.569983e+000
2.788111921205338e-005	2.568987e+000
2.788233701275419e-005	2.567991e+000
2.788355481345500e-005	2.566994e+000
2.788477261415582e-005	2.565998e+000
2.788943648012753e-005	2.562179e+000
2.789588929121527e-005	2.556892e+000
2.790329782634850e-005	2.550817e+000
2.791173799485825e-005	2.543887e+000
2.792173799485825e-005	2.535667e+000
2.793113143289825e-005	2.527935e+000
2.794113143289826e-005	2.519693e+000
2.794713529369176e-005	2.514739e+000
2.794867963031480e-005	2.513464e+000
2.795022396693785e-005	2.512189e+000
2.795176830356089e-005	2.510914e+000
2.795331264018394e-005	2.509638e+000
2.795485697680698e-005	2.508362e+000
2.795640131343003e-005	2.507086e+000
2.795794565005307e-005	2.505810e+000
2.796064614968100e-005	2.503577e+000
